entity_id,state,last_changed
sensor.lixee_zlinky_tic_puissance_apparente,992,2026-07-17T22:29:21.540Z
sensor.lixee_zlinky_tic_puissance_apparente,994,2026-07-17T22:29:27.573Z
sensor.lixee_zlinky_tic_puissance_apparente,1000,2026-07-17T22:29:40.641Z
sensor.lixee_zlinky_tic_puissance_apparente,995,2026-07-17T22:29:53.679Z
sensor.lixee_zlinky_tic_puissance_apparente,994,2026-07-17T22:29:59.700Z
sensor.lixee_zlinky_tic_puissance_apparente,995,2026-07-17T22:30:06.733Z
sensor.lixee_zlinky_tic_puissance_apparente,999,2026-07-17T22:30:12.762Z
sensor.lixee_zlinky_tic_puissance_apparente,998,2026-07-17T22:30:25.808Z
sensor.lixee_zlinky_tic_puissance_apparente,995,2026-07-17T22:30:31.825Z
sensor.lixee_zlinky_tic_puissance_apparente,999,2026-07-17T22:30:44.879Z
sensor.lixee_zlinky_tic_puissance_apparente,1001,2026-07-17T22:30:51.911Z
sensor.lixee_zlinky_tic_puissance_apparente,1000,2026-07-17T22:30:57.928Z
sensor.lixee_zlinky_tic_puissance_apparente,995,2026-07-17T22:31:04.965Z
sensor.lixee_zlinky_tic_puissance_apparente,996,2026-07-17T22:31:10.987Z
sensor.lixee_zlinky_tic_puissance_apparente,998,2026-07-17T22:31:17.005Z
sensor.lixee_zlinky_tic_puissance_apparente,997,2026-07-17T22:31:24.032Z
sensor.lixee_zlinky_tic_puissance_apparente,996,2026-07-17T22:31:30.042Z
sensor.lixee_zlinky_tic_puissance_apparente,994,2026-07-17T22:31:37.076Z
sensor.lixee_zlinky_tic_puissance_apparente,999,2026-07-17T22:31:56.135Z
sensor.lixee_zlinky_tic_puissance_apparente,995,2026-07-17T22:32:09.201Z
sensor.lixee_zlinky_tic_puissance_apparente,997,2026-07-17T22:32:22.241Z
sensor.lixee_zlinky_tic_puissance_apparente,1001,2026-07-17T22:32:28.259Z
sensor.lixee_zlinky_tic_puissance_apparente,1002,2026-07-17T22:32:35.295Z
sensor.lixee_zlinky_tic_puissance_apparente,996,2026-07-17T22:32:41.311Z
sensor.lixee_zlinky_tic_puissance_apparente,997,2026-07-17T22:32:54.364Z
sensor.lixee_zlinky_tic_puissance_apparente,1001,2026-07-17T22:33:01.393Z
sensor.lixee_zlinky_tic_puissance_apparente,1003,2026-07-17T22:33:07.417Z
sensor.lixee_zlinky_tic_puissance_apparente,1001,2026-07-17T22:33:13.433Z
sensor.lixee_zlinky_tic_puissance_apparente,997,2026-07-17T22:33:20.460Z
sensor.lixee_zlinky_tic_puissance_apparente,998,2026-07-17T22:33:26.481Z
sensor.lixee_zlinky_tic_puissance_apparente,1002,2026-07-17T22:33:33.517Z
sensor.lixee_zlinky_tic_puissance_apparente,1004,2026-07-17T22:33:39.527Z
sensor.lixee_zlinky_tic_puissance_apparente,1000,2026-07-17T22:33:52.576Z
sensor.lixee_zlinky_tic_puissance_apparente,1001,2026-07-17T22:33:58.588Z
sensor.lixee_zlinky_tic_puissance_apparente,1006,2026-07-17T22:34:05.625Z
sensor.lixee_zlinky_tic_puissance_apparente,1005,2026-07-17T22:34:11.649Z
sensor.lixee_zlinky_tic_puissance_apparente,1004,2026-07-17T22:34:18.695Z
